State,2015-01-01
AL,90.259
AK,104.43
AZ,97.901
AR,89.827
CA,109.26
CO,102.731
CT,106.393
DE,98.745
DC,112.448
FL,101.517
GA,95.095
HI,111.441
ID,94.44
IL,99.155
IN,92.239
IA,89.866
KS,93.406
KY,90.873
LA,93.996
ME,95.748
MD,107.715
MA,104.505
MI,93.809
MN,97.432
MS,89.178
MO,92.967
MT,96.444
NE,92.259
NV,98.649
NH,102.462
NJ,109.02
NM,94.613
NY,109.478
NC,93.925
ND,92.781
OH,92.396
OK,92.065
OR,100.191
PA,98.282
RI,100.893
SC,93.74
SD,89.181
TN,93.131
TX,98.89
UT,97.647
VT,100.081
VA,103.761
WA,103.411
WV,91.005
WI,93.502
WY,97.863
